Datum;Tijd;Verbruik;Bedrag;Land
22-5-2015;0,287719907;465;€ 0,02;NL
22-5-2015;0,463506944;6;€ 0,00;NL
22-5-2015;0,464490741;115;€ 0,01;NL
22-5-2015;0,496331019;8.212,00;€ 0,31;NL
22-5-2015;0,622407407;1.204,00;€ 0,05;NL
22-5-2015;0,869826389;70;€ 0,00;NL
23-5-2015;0,072835648;9;€ 0,00;NL
23-5-2015;0,11525463;629;€ 0,03;NL
26-5-2015;0,458541667;350;€ 0,02;NL
26-5-2015;0,469814815;1.371,00;€ 0,05;NL
26-5-2015;0,520798611;216;€ 0,01;NL
26-5-2015;0,744340278;55;€ 0,00;NL
26-5-2015;0,749027778;8;€ 0,00;NL
26-5-2015;0,751539352;1;€ 0,00;NL
26-5-2015;0,761493056;301;€ 0,02;NL
27-5-2015;0,008321759;3;€ 0,00;NL
27-5-2015;0,034097222;16;€ 0,00;NL
27-5-2015;0,083483796;40;€ 0,00;NL
27-5-2015;0,196782407;10;€ 0,00;NL
27-5-2015;0,229490741;529;€ 0,02;NL
27-5-2015;0,402604167;809;€ 0,03;NL
27-5-2015;0,650324074;2.000,00;€ 0,07;NL
27-5-2015;0,898113426;399;€ 0,02;NL
28-5-2015;0,136388889;22;€ 0,00;NL
28-5-2015;0,185775463;9;€ 0,00;NL
28-5-2015;0,224768519;23;€ 0,00;NL
28-5-2015;0,277615741;399;€ 0,02;NL
28-5-2015;0,450613426;556;€ 0,02;NL
28-5-2015;0,697268519;534;€ 0,02;NL
28-5-2015;0,945775463;125;€ 0,01;NL
29-5-2015;0,193969907;580;€ 0,02;NL
29-5-2015;0,443356481;13;€ 0,00;NL
29-5-2015;0,482326389;29;€ 0,00;NL
29-5-2015;0,553240741;1;€ 0,00;NL
29-5-2015;0,581087963;9;€ 0,00;NL
29-5-2015;0,619351852;36;€ 0,00;NL
29-5-2015;0,692337963;1.015,00;€ 0,04;NL
29-5-2015;0,939907407;86;€ 0,00;NL
30-5-2015;0,039282407;1;€ 0,00;NL
30-5-2015;0,073402778;8;€ 0,00;NL
30-5-2015;0,097083333;37;€ 0,00;NL
30-5-2015;0,229803241;17;€ 0,00;NL
30-5-2015;0,28244213;1.418,00;€ 0,06;NL
30-5-2015;0,539537037;27.240,00;€ 1,01;NL
30-5-2015;0,789490741;234;€ 0,01;NL
30-5-2015;0,835011574;30;€ 0,00;NL
30-5-2015;0,904305556;181;€ 0,01;NL
31-5-2015;0,153935185;9;€ 0,00;NL
31-5-2015;0,184571759;12;€ 0,00;NL
31-5-2015;0,224907407;9;€ 0,00;NL
31-5-2015;0,265949074;9;€ 0,00;NL
31-5-2015;0,307002315;10;€ 0,00;NL
31-5-2015;0,337569444;582;€ 0,02;NL
31-5-2015;0,410358796;4.579,00;€ 0,17;NL
31-5-2015;0,539212963;11;€ 0,00;NL
31-5-2015;0,544456019;153;€ 0,01;NL
31-5-2015;0,783425926;143;€ 0,01;NL
1-6-2015;0,030196759;18;€ 0,00;NL
1-6-2015;0,104571759;2;€ 0,00;NL
1-6-2015;0,141458333;10;€ 0,00;NL
1-6-2015;0,180428241;17;€ 0,00;NL
1-6-2015;0,224965278;16;€ 0,00;NL
1-6-2015;0,287534722;336;€ 0,02;NL
1-6-2015;0,454074074;374;€ 0,02;NL
1-6-2015;0,680625;297;€ 0,01;NL
1-6-2015;0,760428241;1.204,00;€ 0,05;NL
2-6-2015;0,00849537;124;€ 0,01;NL
2-6-2015;0,201608796;9;€ 0,00;NL
2-6-2015;0,224606481;16;€ 0,00;NL
2-6-2015;0,290648148;1.892,00;€ 0,07;NL
2-6-2015;0,538275463;3.686,00;€ 0,14;NL
2-6-2015;0,78744213;152;€ 0,01;NL
2-6-2015;0,974340278;23;€ 0,00;NL
3-6-2015;0,066875;8;€ 0,00;NL
3-6-2015;0,24630787;359;€ 0,02;NL
3-6-2015;0,419780093;542;€ 0,02;NL
3-6-2015;0,597962963;10.050,00;€ 0,38;NL
3-6-2015;0,845081019;93;€ 0,00;NL
3-6-2015;0,932233796;391;€ 0,02;NL
4-6-2015;0,021898148;23;€ 0,00;NL
4-6-2015;0,078240741;51;€ 0,00;NL
4-6-2015;0,228981481;34;€ 0,00;NL
4-6-2015;0,336006944;716;€ 0,03;NL
4-6-2015;0,584722222;618;€ 0,03;NL
4-6-2015;0,840694444;24;€ 0,00;NL
4-6-2015;0,914756944;93;€ 0,00;NL
5-6-2015;0,074571759;40;€ 0,00;NL
5-6-2015;0,183009259;11;€ 0,00;NL
5-6-2015;0,232407407;1;€ 0,00;NL
5-6-2015;0,267233796;27;€ 0,00;NL
5-6-2015;0,327731481;841;€ 0,03;NL
5-6-2015;0,562094907;1.272,00;€ 0,05;NL
5-6-2015;0,747395833;246;€ 0,01;NL
5-6-2015;0,994837963;85;€ 0,00;NL
6-4-2015;0,20380787;10;€ 0,00;NL
6-4-2015;0,244861111;17;€ 0,00;NL
6-4-2015;0,322233796;16;€ 0,00;NL
6-4-2015;0,386689815;1;€ 0,00;NL
6-4-2015;0,408993056;24;€ 0,00;NL
6-4-2015;0,479097222;45;€ 0,00;NL
6-4-2015;0,532175926;8;€ 0,00;NL
6-4-2015;0,535081019;716;€ 0,03;NL
6-4-2015;0,676516204;164;€ 0,01;NL
6-4-2015;0,746631944;710;€ 0,03;NL
6-4-2015;0,993993056;83;€ 0,00;NL
7-4-2015;0,152175926;10;€ 0,00;NL
7-4-2015;0,20318287;36;€ 0,00;NL
7-4-2015;0,309502315;478;€ 0,02;NL
7-4-2015;0,490023148;705;€ 0,03;NL
7-4-2015;0,737060185;263;€ 0,01;NL
8-4-2015;0,008680556;21;€ 0,00;NL
8-4-2015;0,06849537;42;€ 0,00;NL
8-4-2015;0,201215278;389;€ 0,02;NL
9-4-2015;0,330787037;2.211,00;€ 0,09;NL
9-4-2015;0,57650463;281;€ 0,01;NL
9-4-2015;0,69962963;42;€ 0,00;NL
9-4-2015;0,814791667;138;€ 0,01;NL
9-4-2015;0,93775463;167;€ 0,01;NL
10-4-2015;0,184988426;22;€ 0,00;NL
10-4-2015;0,230891204;32;€ 0,00;NL
10-4-2015;0,278206019;14;€ 0,00;NL
10-4-2015;0,321157407;692;€ 0,03;NL
10-4-2015;0,568912037;421;€ 0,02;NL
10-4-2015;0,702106481;34;€ 0,00;NL
10-4-2015;0,709641204;382;€ 0,02;NL
10-4-2015;0,947303241;90;€ 0,00;NL
11-4-2015;0,096701389;46;€ 0,00;NL
11-4-2015;0,203032407;21;€ 0,00;NL
11-4-2015;0,26005787;204;€ 0,01;NL
11-4-2015;0,332569444;1;€ 0,00;NL
11-4-2015;0,354166667;359;€ 0,02;NL
11-4-2015;0,601990741;56;€ 0,00;NL
11-4-2015;0,702766204;10;€ 0,00;NL
11-4-2015;0,714571759;2.017,00;€ 0,08;NL
11-4-2015;0,962743056;109;€ 0,01;NL
12-4-2015;0,406157407;71;€ 0,00;NL
12-4-2015;0,472407407;182;€ 0,01;NL
12-4-2015;0,67162037;237;€ 0,01;NL
12-4-2015;0,921099537;83;€ 0,00;NL
13-4-2015;0,034479167;38;€ 0,00;NL
13-4-2015;0,144166667;33;€ 0,00;NL
13-4-2015;0,253969907;1;€ 0,00;NL
13-4-2015;0,297893519;674;€ 0,03;NL
13-4-2015;0,546458333;581;€ 0,02;NL
13-4-2015;0,796064815;796;€ 0,03;NL
14-4-2015;0,004375;22;€ 0,00;NL
14-4-2015;0,332789352;713;€ 0,03;NL
14-4-2015;0,58119213;629;€ 0,03;NL
14-4-2015;0,834351852;720;€ 0,03;NL
15-4-2015;0,084305556;79;€ 0,00;NL
15-4-2015;0,207997685;23;€ 0,00;NL
15-4-2015;0,254618056;9;€ 0,00;NL
15-4-2015;0,294270833;2;€ 0,00;NL
15-4-2015;0,337395833;640;€ 0,03;NL
15-4-2015;0,58431713;126;€ 0,01;NL
15-4-2015;0,616215278;9.315,00;€ 0,35;NL
15-4-2015;0,865532407;2.639,00;€ 0,10;NL
16-4-2015;0,294444444;884;€ 0,03;NL
16-4-2015;0,512627315;182;€ 0,01;NL
16-4-2015;0,571203704;288;€ 0,01;NL
16-4-2015;0,661527778;5.202,00;€ 0,20;NL
16-4-2015;0,91068287;19;€ 0,00;NL
17-4-2015;0,288020833;1.851,00;€ 0,07;NL
17-4-2015;0,368645833;680;€ 0,03;NL
17-4-2015;0,615555556;42.903,00;€ 1,60;NL
17-4-2015;0,865601852;1.957,00;€ 0,07;NL
18-4-2015;0,293229167;96;€ 0,00;NL
18-4-2015;0,397395833;1.704,00;€ 0,07;NL
18-4-2015;0,524733796;16.872,00;€ 0,63;NL
18-4-2015;0,771793981;7.545,00;€ 0,28;NL
19-4-2015;0,020381944;29;€ 0,00;NL
19-4-2015;0,052071759;151;€ 0,01;NL
19-4-2015;0,290092593;9;€ 0,00;NL
19-4-2015;0,328796296;5.068,00;€ 0,19;NL
19-4-2015;0,567743056;617;€ 0,03;NL
19-4-2015;0,772083333;2.339,00;€ 0,09;NL
19-4-2015;0,833969907;135;€ 0,01;NL
20-4-2015;0,306678241;3.658,00;€ 0,14;NL
20-4-2015;0,556539352;776;€ 0,03;NL
20-4-2015;0,803333333;214;€ 0,01;NL
21-4-2015;0,050034722;37;€ 0,00;NL
21-4-2015;0,132060185;17;€ 0,00;NL
21-4-2015;0,189803241;54;€ 0,00;NL
21-4-2015;0,300289352;10;€ 0,00;NL
21-4-2015;0,33994213;2.577,00;€ 0,10;NL
21-4-2015;0,54599537;2.005,00;€ 0,08;NL
21-4-2015;0,686585648;1.463,00;€ 0,06;NL
21-4-2015;0,924131944;1.142,00;€ 0,05;NL
22-4-2015;0,303622685;816;€ 0,03;NL
22-4-2015;0,563425926;869;€ 0,03;NL
22-4-2015;0,810543981;769;€ 0,03;NL
22-4-2015;0,899490741;348;€ 0,02;NL
23-4-2015;0,137060185;18;€ 0,00;NL
23-4-2015;0,201076389;1;€ 0,00;NL
23-4-2015;0,211134259;9;€ 0,00;NL
23-4-2015;0,252615741;33;€ 0,00;NL
23-4-2015;0,33255787;697;€ 0,03;NL
23-4-2015;0,569027778;583;€ 0,02;NL
23-4-2015;0,82962963;1;€ 0,00;NL
23-4-2015;0,850462963;171;€ 0,01;NL
24-4-2015;0,109097222;128;€ 0,01;NL
24-4-2015;0,346388889;1.191,00;€ 0,05;NL
24-4-2015;0,605706019;257;€ 0,01;NL
24-4-2015;0,750497685;27;€ 0,00;NL
24-4-2015;0,764525463;16;€ 0,00;NL
24-4-2015;0,780092593;28;€ 0,00;NL
24-4-2015;0,840416667;181;€ 0,01;NL
25-4-2015;0,088344907;2.600,00;€ 0,10;NL
25-4-2015;0,263541667;928;€ 0,04;NL
25-4-2015;0,284594907;383;€ 0,02;NL
1-5-2015;0,020671296;578;€ 0,02;NL
1-5-2015;0,295509259;650;€ 0,03;NL
1-5-2015;0,543796296;686;€ 0,03;NL
1-5-2015;0,793217593;1;€ 0,00;NL
1-5-2015;0,799409722;166;€ 0,01;NL
2-5-2015;0,035740741;6;€ 0,00;NL
2-5-2015;0,073310185;26;€ 0,00;NL
2-5-2015;0,134502315;41;€ 0,00;NL
2-5-2015;0,229733796;97;€ 0,00;NL
2-5-2015;0,370601852;47;€ 0,00;NL
2-5-2015;0,389189815;8;€ 0,00;NL
2-5-2015;0,408506944;474;€ 0,02;NL
2-5-2015;0,603981481;23;€ 0,00;NL
2-5-2015;0,648506944;90;€ 0,00;NL
2-5-2015;0,738541667;1;€ 0,00;NL
2-5-2015;0,742384259;671;€ 0,03;NL
2-5-2015;0,991215278;19;€ 0,00;NL
3-5-2015;0,364756944;242;€ 0,01;NL
3-5-2015;0,614618056;434;€ 0,02;NL
3-5-2015;0,733969907;31;€ 0,00;NL
3-5-2015;0,766261574;5.046,00;€ 0,19;NL
4-5-2015;0,015173611;1;€ 0,00;NL
4-5-2015;0,040243056;48;€ 0,00;NL
4-5-2015;0,1528125;40;€ 0,00;NL
4-5-2015;0,269560185;360;€ 0,02;NL
4-5-2015;0,517349537;739;€ 0,03;NL
4-5-2015;0,764351852;155;€ 0,01;NL
5-5-2015;0,011469907;32;€ 0,00;NL
5-5-2015;0,111724537;10;€ 0,00;NL
5-5-2015;0,172060185;47;€ 0,00;NL
5-5-2015;0,316585648;1;€ 0,00;NL
5-5-2015;0,33755787;33;€ 0,00;NL
5-5-2015;0,404988426;20;€ 0,00;NL
5-5-2015;0,441053241;7;€ 0,00;NL
5-5-2015;0,454699074;21;€ 0,00;NL
5-5-2015;0,47931713;4.997,00;€ 0,19;NL
6-3-2015;0,412002315;3.211,00;€ 0,12;NL
6-3-2015;0,607395833;16.697,00;€ 0,62;NL
6-3-2015;0,919884259;2.764,00;€ 0,10;NL
7-3-2015;0,342268519;1.330,00;€ 0,05;NL
7-3-2015;0,591180556;123;€ 0,01;NL
7-3-2015;0,776006944;90;€ 0,00;NL
7-3-2015;0,93650463;46;€ 0,00;NL
8-3-2015;0,377118056;2.740,00;€ 0,10;NL
8-3-2015;0,467083333;42;€ 0,00;NL
8-3-2015;0,472141204;16;€ 0,00;NL
8-3-2015;0,473668981;21;€ 0,00;NL
8-3-2015;0,474918981;353;€ 0,02;NL
8-3-2015;0,502766204;48;€ 0,00;NL
8-3-2015;0,652083333;8.289,00;€ 0,31;NL
8-3-2015;0,900208333;1.006,00;€ 0,04;NL
9-3-2015;0,150185185;1.250,00;€ 0,05;NL
9-3-2015;0,328275463;3.554,00;€ 0,13;NL
9-3-2015;0,427766204;1.767,00;€ 0,07;NL
10-3-2015;0,759247685;145;€ 0,01;NL
11-3-2015;0,029456019;369;€ 0,02;NL
11-3-2015;0,278657407;630;€ 0,03;NL
11-3-2015;0,348148148;1.151,00;€ 0,05;NL
11-3-2015;0,598125;615;€ 0,03;NL
12-3-2015;0,708634259;59;€ 0,00;NL
12-3-2015;0,740474537;544;€ 0,02;NL
13-3-2015;0,262048611;555;€ 0,02;NL
13-3-2015;0,704328704;815;€ 0,03;NL
13-3-2015;0,741134259;895;€ 0,03;NL
13-3-2015;0,990486111;2;€ 0,00;NL
14-3-2015;0,039270833;1;€ 0,00;NL
14-3-2015;0,06087963;66;€ 0,00;NL
14-3-2015;0,18943287;22;€ 0,00;NL
14-3-2015;0,245775463;164;€ 0,01;NL
14-3-2015;0,422002315;527;€ 0,02;NL
14-3-2015;0,743946759;1.314,00;€ 0,05;NL
14-3-2015;0,993969907;165;€ 0,01;NL
15-3-2015;0,243969907;124;€ 0,01;NL
15-3-2015;0,466898148;209;€ 0,01;NL
15-3-2015;0,716180556;961;€ 0,04;NL
15-3-2015;0,966203704;574;€ 0,02;NL
16-3-2015;0,21619213;1.263,00;€ 0,05;NL
16-3-2015;0,466180556;1.604,00;€ 0,06;NL
16-3-2015;0,716180556;593;€ 0,02;NL
17-3-2015;0,26224537;1.711,00;€ 0,07;NL
17-3-2015;0,472291667;1.137,00;€ 0,05;NL
17-3-2015;0,511296296;87;€ 0,00;NL
17-3-2015;0,945046296;405;€ 0,02;NL
18-3-2015;0,372210648;994;€ 0,04;NL
18-3-2015;0,606608796;1.313,00;€ 0,05;NL
18-3-2015;0,759675926;1.308,00;€ 0,05;NL
19-3-2015;0,007858796;104;€ 0,01;NL
19-3-2015;0,257858796;1.074,00;€ 0,04;NL
19-3-2015;0,50787037;376;€ 0,02;NL
19-3-2015;0,539097222;1.978,00;€ 0,07;NL
19-3-2015;0,710219907;32.401,00;€ 1,21;NL
19-3-2015;0,959259259;32;€ 0,00;NL
20-3-2015;0,063518519;10;€ 0,00;NL
20-3-2015;0,099039352;18;€ 0,00;NL
20-3-2015;0,107685185;10;€ 0,00;NL
20-3-2015;0,216550926;850;€ 0,03;NL
20-3-2015;0,431296296;262;€ 0,01;NL
20-3-2015;0,549907407;72.000,00;€ 2,67;NL
20-3-2015;0,725289352;72.000,00;€ 2,67;NL
20-3-2015;0,802962963;107;€ 0,01;NL
20-3-2015;0,83994213;1;€ 0,00;NL
21-3-2015;0,464189815;677;€ 0,03;NL
21-3-2015;0,642060185;1.029,00;€ 0,04;NL
21-3-2015;0,669108796;576;€ 0,02;NL
21-3-2015;0,917581019;61;€ 0,00;NL
21-3-2015;0,942997685;133;€ 0,01;NL
22-3-2015;0,142766204;15;€ 0,00;NL
22-3-2015;0,143773148;9;€ 0,00;NL
22-3-2015;0,185497685;9;€ 0,00;NL
22-3-2015;0,190763889;1;€ 0,00;NL
22-3-2015;0,294097222;8;€ 0,00;NL
22-3-2015;0,325405093;37;€ 0,00;NL
22-3-2015;0,393090278;55;€ 0,00;NL
22-3-2015;0,444548611;9;€ 0,00;NL
22-3-2015;0,444907407;154;€ 0,01;NL
22-3-2015;0,691886574;282;€ 0,01;NL
22-3-2015;0,941886574;32;€ 0,00;NL
23-3-2015;0,053090278;19;€ 0,00;NL
23-3-2015;0,129560185;17;€ 0,00;NL
23-3-2015;0,17130787;21;€ 0,00;NL
23-3-2015;0,21443287;457;€ 0,02;NL
23-3-2015;0,390856481;675;€ 0,03;NL
23-3-2015;0,712766204;98;€ 0,00;NL
23-3-2015;0,794456019;10;€ 0,00;NL
23-3-2015;0,817453704;69;€ 0,00;NL
23-3-2015;0,969236111;17;€ 0,00;NL
23-3-2015;0,978657407;22;€ 0,00;NL
24-3-2015;0,094791667;1;€ 0,00;NL
24-3-2015;0,121261574;12;€ 0,00;NL
24-3-2015;0,160914352;170;€ 0,01;NL
24-3-2015;0,226851852;460;€ 0,02;NL
24-3-2015;0,476608796;301;€ 0,02;NL
24-3-2015;0,726631944;96;€ 0,00;NL
24-3-2015;0,803101852;84;€ 0,00;NL
24-3-2015;0,899340278;31;€ 0,00;NL
24-3-2015;0,937222222;20;€ 0,00;NL
25-3-2015;0,091550926;8;€ 0,00;NL
25-3-2015;0,127060185;29;€ 0,00;NL
25-3-2015;0,219502315;8;€ 0,00;NL
25-3-2015;0,26193287;748;€ 0,03;NL
25-3-2015;0,511342593;421;€ 0,02;NL
25-3-2015;0,662037037;639;€ 0,03;NL
25-3-2015;0,910648148;653;€ 0,03;NL
26-3-2015;0,16068287;164;€ 0,01;NL
26-3-2015;0,225358796;817;€ 0,03;NL
26-3-2015;0,401134259;322;€ 0,02;NL
26-3-2015;0,621863426;682;€ 0,03;NL
26-3-2015;0,868993056;9;€ 0,00;NL
26-3-2015;0,8940625;48;€ 0,00;NL
26-3-2015;0,980474537;25;€ 0,00;NL
27-3-2015;0,132916667;9;€ 0,00;NL
27-3-2015;0,171886574;17;€ 0,00;NL
27-3-2015;0,214340278;41;€ 0,00;NL
27-3-2015;0,321377315;503;€ 0,02;NL
27-3-2015;0,45619213;514;€ 0,02;NL
27-3-2015;0,775231481;418;€ 0,02;NL
28-3-2015;0,025231481;88;€ 0,00;NL
28-3-2015;0,180185185;26;€ 0,00;NL
28-3-2015;0,217789352;9;€ 0,00;NL
28-3-2015;0,253275463;30;€ 0,00;NL
28-3-2015;0,326284722;2;€ 0,00;NL
28-3-2015;0,358645833;199;€ 0,01;NL
28-3-2015;0,362476852;19;€ 0,00;NL
28-3-2015;0,606018519;1.214,00;€ 0,05;NL
28-3-2015;0,928009259;415;€ 0,02;NL
29-3-2015;0,219675926;24;€ 0,00;NL
29-3-2015;0,269733796;20;€ 0,00;NL
29-3-2015;0,342743056;469;€ 0,02;NL
29-3-2015;0,59119213;2.454,00;€ 0,09;NL
29-3-2015;0,841203704;147;€ 0,01;NL
29-3-2015;0,962465278;75;€ 0,00;NL
30-3-2015;0,159768519;19;€ 0,00;NL
30-3-2015;0,23625;19;€ 0,00;NL
30-3-2015;0,338298611;10;€ 0,00;NL
30-3-2015;0,3703125;641;€ 0,03;NL
30-3-2015;0,649097222;509;€ 0,02;NL
30-3-2015;0,896770833;420;€ 0,02;NL
31-3-2015;0,146759259;1;€ 0,00;NL
31-3-2015;0,181574074;19;€ 0,00;NL
31-3-2015;0,230243056;22;€ 0,00;NL
31-3-2015;0,2928125;330;€ 0,02;NL
31-3-2015;0,72775463;2.382,00;€ 0,09;NL
31-3-2015;0,976631944;26;€ 0,00;NL
1-4-2015;0,042685185;19;€ 0,00;NL
1-4-2015;0,110138889;18;€ 0,00;NL
1-4-2015;0,173425926;24;€ 0,00;NL
1-4-2015;0,68130787;320;€ 0,02;NL
1-4-2015;0,80337963;127;€ 0,01;NL
2-4-2015;0,053020833;40;€ 0,00;NL
2-4-2015;0,205185185;11;€ 0,00;NL
2-4-2015;0,230983796;15;€ 0,00;NL
2-4-2015;0,284548611;19;€ 0,00;NL
2-4-2015;0,364479167;650;€ 0,03;NL
2-4-2015;0,611446759;1.288,00;€ 0,05;NL
2-4-2015;0,862048611;36;€ 0,00;NL
2-4-2015;0,910763889;130;€ 0,01;NL
3-4-2015;0,025439815;49;€ 0,00;NL
3-4-2015;0,169976852;106;€ 0,01;NL
3-4-2015;0,417604167;11;€ 0,00;NL
3-4-2015;0,445486111;61;€ 0,00;NL
3-4-2015;0,488969907;75;€ 0,00;NL
3-4-2015;0,526736111;490;€ 0,02;NL
3-4-2015;0,77525463;409;€ 0,02;NL
4-4-2015;0,025243056;30;€ 0,00;NL
4-4-2015;0,142685185;15;€ 0,00;NL
4-4-2015;0,196238426;10;€ 0,00;NL
4-4-2015;0,230347222;66;€ 0,00;NL
4-4-2015;0,45125;640;€ 0,03;NL
4-4-2015;0,634166667;257;€ 0,01;NL
4-4-2015;0,882893519;1.024,00;€ 0,04;NL
5-4-2015;0,13287037;298;€ 0,01;NL
5-4-2015;0,465300926;900;€ 0,03;NL
5-4-2015;0,716284722;1.249,00;€ 0,05;NL
5-4-2015;0,963854167;168;€ 0,01;NL
12-12-2015;16:05:39;168,187;€ 0,04;BL
12-12-2015;16:09:23;313,246;€ 0,07;BL
15-12-2015;16:31:29;1.002,97;€ 0,24;BL
29-12-2015;16:30:36;1.782,19;€ 0,42;BL
30-12-2015;8:46:10;1.066,79;€ 0,25;BL
15-7-2015;20:02:37;18.038,00;€ 4,23;BL
16-7-2015;0:18:05;132;€ 0,03;BL
16-7-2015;0:38:10;52;€ 0,01;BL
16-7-2015;7:08:28;2.580,00;€ 0,61;BL
16-7-2015;8:52:34;125;€ 0,03;BL
16-7-2015;9:20:53;683;€ 0,16;BL
26-5-2015;8:45:37;668;€ 0,16;BL
